timestamp,pos_error_m,heading_error_deg,velocity_error_mps,time_diff_s
1662794107.277222,2.097742,1.873743,0.007877,0.080746
1662794107.378323,0.000000,0.000000,0.000000,0.000000
1662794107.524495,0.000000,0.000000,0.000000,0.000000
1662794107.726577,6.811488,2.927481,0.006597,0.060663
1662794108.030715,21.036495,13.248033,0.014210,0.081219
1662794108.253205,0.000000,0.000000,0.000000,0.000000
1662794108.356687,0.000000,0.000000,0.000000,0.000000
1662794108.639174,0.000000,0.000000,0.000000,0.000000
1662794109.044972,20.968182,4.076337,0.008040,0.081256
1662794110.063885,0.000000,0.000000,0.000000,0.000000
1662794110.386873,0.087186,0.428464,0.010015,0.000000
1662794110.774170,0.035836,0.087889,0.032442,0.000000
1662794111.139106,0.115023,0.164795,0.000609,0.040355
1662794111.465968,0.057511,0.153807,0.008438,0.000000
1662794111.829624,0.035836,0.109862,0.015104,0.000000
1662794112.156733,0.065390,0.219725,0.007818,0.000000
1662794112.490908,0.073622,0.263670,0.015082,0.000000
1662794112.818299,0.099546,0.406492,0.029814,0.000000
1662794113.144655,0.066605,0.329587,0.011229,0.000000
1662794113.467866,0.028146,0.164792,0.009928,0.000000
1662794113.795356,0.131817,0.648191,0.007662,0.040897
1662794114.087119,0.037528,0.120847,0.000107,0.000000
1662794114.420049,0.094474,0.406492,0.034806,0.041967
1662794114.685196,0.066605,0.285642,0.008657,0.000000
1662794115.029959,0.000000,0.000000,0.000000,0.000000
1662794115.312680,0.037528,0.131834,0.022568,0.000000
1662794115.616503,0.069319,0.186766,0.000705,0.000000
1662794115.901522,0.069319,0.131835,0.026820,0.000000
1662794116.184595,0.103780,0.120849,0.022354,0.000000
1662794116.507653,0.103780,0.000000,0.017146,0.020201
1662794116.794814,0.073622,0.076904,0.074329,0.000000
1662794117.098401,0.073622,0.076904,0.017536,0.000000
1662794117.385255,0.069319,0.076904,0.007567,0.000000
1662794117.692277,0.112333,0.142822,0.007023,0.020176
1662794117.955081,0.099546,0.329588,0.000745,0.000000
1662794118.261801,0.030252,0.164793,0.009635,0.000000
1662794118.531661,0.039133,0.175778,0.022105,0.000000
1662794118.835447,0.103797,0.505368,0.004231,0.040494
1662794119.097901,0.065675,0.340573,0.039393,0.000000
1662794119.381611,0.039133,0.197751,0.071393,0.000000
1662794119.664262,0.000000,0.000000,0.000000,0.000000
1662794119.927681,0.105560,0.472409,0.021275,0.000000
1662794120.210871,0.078266,0.274656,0.061371,0.000000
1662794120.497278,0.039133,0.098875,0.029660,0.000000
1662794120.780472,0.039133,0.076903,0.013973,0.000000
1662794121.083736,0.039133,0.043944,0.005430,0.000000
1662794121.378655,0.039133,0.021972,0.020477,0.000000
1662794121.663099,0.030252,0.021973,0.013908,0.000000
1662794121.950015,0.030252,0.032959,0.020619,0.000000
1662794122.254596,0.030252,0.065917,0.004081,0.000000
1662794122.538267,0.043593,0.131834,0.009691,0.000000
1662794122.824357,0.069319,0.252683,0.003685,0.000000
1662794123.115616,0.066605,0.274656,0.020020,0.000000
1662794123.411592,0.066605,0.340574,0.004704,0.000000
1662794123.683116,0.065675,0.472409,0.046189,0.000000
1662794123.906462,0.065675,0.549312,0.023744,0.000000
1662794124.130446,0.039133,0.263668,0.016607,0.000000
1662794124.353347,0.066605,0.527339,0.014630,0.000000
1662794124.595467,0.039133,0.219723,0.001967,0.000000
1662794124.921889,0.000000,0.000000,0.000000,0.000000
1662794125.204492,0.065390,0.120848,0.021249,0.000000
1662794125.528315,0.065390,0.054931,0.038090,0.000000
1662794125.852869,0.035836,0.065918,0.009378,0.000000
1662794126.186276,0.030252,0.142821,0.002950,0.000000
1662794126.510661,0.057375,0.417478,0.030246,0.000000
1662794126.753130,0.028146,0.285640,0.021694,0.000000
1662794126.934914,0.085164,0.867915,0.034295,0.000000
1662794127.177743,0.000000,0.000000,0.000000,0.000000
1662794127.340064,0.056293,0.582270,0.000937,0.000000
1662794127.564758,0.000000,0.000000,0.000000,0.000000
1662794127.706138,0.087304,1.043695,0.023810,0.000000
1662794127.873618,0.117398,1.450190,0.051529,0.020132
1662794128.038006,0.060505,0.736078,0.048558,0.000000
1662794128.219697,0.000000,0.000000,0.000000,0.000000
1662794128.364837,0.029053,0.362543,0.013196,0.000000
1662794128.536335,0.000000,0.000000,0.000000,0.000000
1662794128.678254,0.024083,0.351556,0.010032,0.000000
1662794128.861795,0.062186,0.725092,0.016134,0.020190
1662794129.003218,0.062186,0.681146,0.017743,0.000000
1662794129.185921,0.024083,0.351557,0.008246,0.000000
1662794129.387921,0.000000,0.000000,0.000000,0.000000
1662794129.518288,0.056240,0.648187,0.009631,0.000000
1662794129.721218,0.078197,0.834956,0.020344,0.020187
1662794129.943982,0.055452,0.406490,0.021771,0.000000
1662794130.328032,0.055452,0.252683,0.019256,0.000000
1662794130.674078,0.024083,0.131834,0.056447,0.000000
